review_id,source_example_id,expected,actual,taxonomy_tag,rationale,variant_policy
EV-006-V01,EV-006,health,transport,dialect_gap,Gulf phrasing for a missing health result confused with transport.,controlled whitespace/punctuation/code-switch surface review
EV-007-V01,EV-007,permit,digital_service,hard_or_ambiguous,The attachment mention lacks an explicit permit cue.,controlled whitespace/punctuation/code-switch surface review
EV-010-V01,EV-010,health,digital_service,dialect_gap,Gulf app wording obscures the prescription-renewal intent.,controlled whitespace/punctuation/code-switch surface review
EV-012-V01,EV-012,transport,digital_service,dialect_gap,Colloquial location question lacks the formal transport terms.,controlled whitespace/punctuation/code-switch surface review
EV-019-V01,EV-019,permit,digital_service,class_confusion,Status language overlaps generic digital-service failures.,controlled whitespace/punctuation/code-switch surface review
EV-020-V01,EV-020,transport,digital_service,class_confusion,Map/application cue dominates the route intent.,controlled whitespace/punctuation/code-switch surface review
EV-030-V01,EV-030,health,transport,hard_or_ambiguous,Missing-record wording overlaps multiple service domains.,controlled whitespace/punctuation/code-switch surface review
EV-031-V01,EV-031,permit,digital_service,hard_or_ambiguous,The short request omits the permit noun.,controlled whitespace/punctuation/code-switch surface review
EV-006-V02,EV-006,health,transport,dialect_gap,Gulf phrasing for a missing health result confused with transport.,controlled whitespace/punctuation/code-switch surface review
EV-007-V02,EV-007,permit,digital_service,hard_or_ambiguous,The attachment mention lacks an explicit permit cue.,controlled whitespace/punctuation/code-switch surface review
EV-010-V02,EV-010,health,digital_service,dialect_gap,Gulf app wording obscures the prescription-renewal intent.,controlled whitespace/punctuation/code-switch surface review
EV-012-V02,EV-012,transport,digital_service,dialect_gap,Colloquial location question lacks the formal transport terms.,controlled whitespace/punctuation/code-switch surface review
EV-019-V02,EV-019,permit,digital_service,class_confusion,Status language overlaps generic digital-service failures.,controlled whitespace/punctuation/code-switch surface review
EV-020-V02,EV-020,transport,digital_service,class_confusion,Map/application cue dominates the route intent.,controlled whitespace/punctuation/code-switch surface review
EV-030-V02,EV-030,health,transport,hard_or_ambiguous,Missing-record wording overlaps multiple service domains.,controlled whitespace/punctuation/code-switch surface review
EV-031-V02,EV-031,permit,digital_service,hard_or_ambiguous,The short request omits the permit noun.,controlled whitespace/punctuation/code-switch surface review
EV-006-V03,EV-006,health,transport,dialect_gap,Gulf phrasing for a missing health result confused with transport.,controlled whitespace/punctuation/code-switch surface review
EV-007-V03,EV-007,permit,digital_service,hard_or_ambiguous,The attachment mention lacks an explicit permit cue.,controlled whitespace/punctuation/code-switch surface review
EV-010-V03,EV-010,health,digital_service,dialect_gap,Gulf app wording obscures the prescription-renewal intent.,controlled whitespace/punctuation/code-switch surface review
EV-012-V03,EV-012,transport,digital_service,dialect_gap,Colloquial location question lacks the formal transport terms.,controlled whitespace/punctuation/code-switch surface review
EV-019-V03,EV-019,permit,digital_service,class_confusion,Status language overlaps generic digital-service failures.,controlled whitespace/punctuation/code-switch surface review
EV-020-V03,EV-020,transport,digital_service,class_confusion,Map/application cue dominates the route intent.,controlled whitespace/punctuation/code-switch surface review
EV-030-V03,EV-030,health,transport,hard_or_ambiguous,Missing-record wording overlaps multiple service domains.,controlled whitespace/punctuation/code-switch surface review
EV-031-V03,EV-031,permit,digital_service,hard_or_ambiguous,The short request omits the permit noun.,controlled whitespace/punctuation/code-switch surface review
EV-006-V04,EV-006,health,transport,dialect_gap,Gulf phrasing for a missing health result confused with transport.,controlled whitespace/punctuation/code-switch surface review
